epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,620.814,0.26742,0.27915,0.97514,0.99919,0.99975,0.995,0.97384,0.26888,0.14497,0.93945,0.000255513,0.000255513,0.000255513
140,934.948,0.26474,0.27429,0.97399,0.9992,0.99975,0.995,0.9739,0.26885,0.14499,0.93941,0.000230784,0.000230784,0.000230784
141,427.621,0.33947,0.16454,1.08323,0.99915,0.99975,0.995,0.97392,0.26875,0.14495,0.93927,0.000208169,0.000208169,0.000208169
142,720.783,0.33286,0.15848,1.07409,0.99911,0.99975,0.995,0.97409,0.2686,0.14492,0.9391,0.000187678,0.000187678,0.000187678
143,1016.9,0.33074,0.15756,1.0694,0.99911,0.99975,0.995,0.97405,0.26847,0.14478,0.939,0.00016932,0.00016932,0.00016932
144,1316.76,0.32276,0.15416,1.06295,0.99911,0.99975,0.995,0.97406,0.26835,0.1446,0.93892,0.000153102,0.000153102,0.000153102
145,1616.4,0.32627,0.15414,1.06752,0.9991,0.99975,0.995,0.9743,0.26827,0.14462,0.93881,0.000139032,0.000139032,0.000139032
146,1915.23,0.3251,0.15318,1.06759,0.99909,0.99975,0.995,0.97447,0.26815,0.14455,0.93875,0.000127117,0.000127117,0.000127117
147,2213.1,0.32436,0.15244,1.06406,0.9991,0.99975,0.995,0.97441,0.26804,0.14434,0.93867,0.00011736,0.00011736,0.00011736
148,2510.77,0.32074,0.15123,1.06071,0.99909,0.99975,0.995,0.97442,0.26791,0.14426,0.93862,0.000109768,0.000109768,0.000109768
149,2805.54,0.32231,0.15165,1.06226,0.99909,0.99975,0.995,0.97428,0.26776,0.1441,0.93853,0.000104342,0.000104342,0.000104342
150,3099.14,0.32133,0.15109,1.06173,0.9991,0.99975,0.995,0.97449,0.26764,0.14396,0.93849,0.000101086,0.000101086,0.000101086
